"Leading causes of death, Australia - selected years - 2010, 2014, 2019 (a)(b)(c)(d)"
,"2010",,"2014",,"2019",,"Median Age (2019)"
"Cause of death and ICD code","no.","Rank","no.","Rank","no.","Rank","years"
"Ischaemic heart diseases (I20-I25)","21,721","1","20,199","1","18,244","1","84"
"Dementia, including Alzheimer's disease (F01, F03, G30)","9,003","3","11,967","2","15,016","2","89.1"
"Cerebrovascular diseases (I60-I69)","11,200","2","10,729","3","9,891","3","86.3"
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)","8,102","4","8,252","4","8,821","4","74.3"
"Chronic lower respiratory diseases (J40-J47)","6,129","5","7,818","5","8,372","5","80.7"
"Malignant neoplasm of colon, sigmoid, rectum and anus (C18-C21, C26.0)(e)","5,247","6","5,289","6","5,410","6","77.6"
"Diabetes (E10-E14)","3,948","7","4,357","7","4,967","7","82"
"Malignant neoplasms of lymphoid, haematopoietic and related tissue (C81-C96)","3,936","8","4,275","8","4,793","8","78.5"
"Influenza and pneumonia (J09-J18)","2,373","15","2,879","13","4,124","9","88.8"
"Diseases of the urinary system (N00-N39)","3,315","10","3,136","10","3,903","10","87.2"
"Heart failure and complications and ill-defined heart disease (I50-I51)","3,470","9","3,447","9","3,648","11","88.6"
"Malignant neoplasm of prostate (C61)","3,236","11","3,102","11","3,611","12","82.4"
"Intentional self-harm (X60-X84, Y87.0)(f)(g)","2,480","13","2,922","12","3,318","13","43.9"
"Accidental falls (W00-W19)","1,691","18","2,399","16","3,298","14","87.4"
"Malignant neoplasms of breast (C50)","2,866","12","2,844","14","3,261","15","72.3"
"Malignant neoplasm of pancreas (C25)","2,434","14","2,547","15","3,207","16","74.6"
"Cardiac arrhythmias (I47-I49)","1,532","21","2,136","18","2,408","17","89.1"
"Malignant neoplasm of liver and intrahepatic bile ducts (C22)","1,337","23","1,732","21","2,204","18","71.9"
"Hypertensive diseases (I10-I15)","1,732","17","2,229","17","2,177","19","88.2"
"Cirrhosis and other diseases of liver (K70-K76)","1,590","19","1,757","20","2,111","20","65"
"All causes","143,473",,"153,580",,"168,960",,"81.7"

"a. Causes listed are the top 20 leading causes of death for 2019, based on the WHO recommended tabulation of leading causes. See Mortality tabulations and methodologies for further information. . Groupings of deaths coded to Chapter XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99) are not included in analysis, due to the unspecified nature of these causes. Furthermore, many deaths coded to this chapter are likely to be affected by revisions, and hence recoded to more specific causes of death as they progress through the revisions process."
"b. See the Data quality section of the methodology for further information on specific issues related to interpreting time-series and 2019 data."
"c. All causes of death data from 2006 onward are subject to a revisions process - once data for a reference year are 'final', they are no longer revised. Affected data in this table are: 2010 and 2014 (final) and 2019 (preliminary). See the Data quality section of the methodology and Causes of Death Revisions, 2016 Final Data (Technical Note) and 2017 Revised Data (Technical Note) in Causes of Death, Australia, 2018 (cat. no. 3303.0)."
"d. Changes in coding processes have been applied to 2019 data. See the Classifications and Mortality coding sections of the methodology for further information."
"e. The data presented for Malignant neoplasm of the colon, sigmoid, rectum and anus (C18-C21) includes deaths due to Malignant neoplasm of the intestinal tract, part unspecified (C26.0). Comparisons with data for this leading cause, and associated leading cause rankings, should therefore be made with caution. See Mortality tabulations and methodologies, Leading causes of death in the methodology section of this publication for further details."
"f. The data presented for intentional self-harm includes ICD-10 codes X60-X84 and Y87.0. Care needs to be taken in interpreting figures relating to intentional self-harm. See the Deaths due to intentional self-harm (suicide) section of the methodology in this publication."
"g. Care needs to be taken when interpreting data derived from Victorian coroner-referred deaths including suicide. See Technical note: Victorian additional registrations and time series adjustments for detailed information on this issue."

"Source: Australian Bureau of Statistics, Causes of Death, Australia 2019"
