"Leading causes of death, females, Australia - selected years - 2010, 2014, 2019 (a)(b)(c)(d)(e)(f)"
,"2010",,"2014",,"2019",,"Rank (2019)"
,"no.","Rate (f)","no.","Rate (f)","no.","Rate (f)",
"Dementia, including Alzheimer's disease (F01, F03, G30)","6,083","36.4","7,861","42.2","9,592","46.1","1"
"Ischaemic heart diseases (I20-I25)","9,998","62.8","9,093","50.9","7,422","37.7","2"
"Cerebrovascular diseases (I60-I69)","6,869","43.2","6,469","36.5","5,802","29.6","3"
"Chronic lower respiratory diseases (J40-J47)","2,899","20.4","3,650","23.2","4,130","23.1","4"
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)","3,167","24.4","3,304","22.9","3,631","22.0","5"
"Malignant neoplasms of female breast (C50)","2,842","21.8","2,814","19.6","3,230","20.0","6"
"Malignant neoplasm of colon, sigmoid, rectum and anus (C18-C21, C26.0)(g)","2,390","17.4","2,438","16.0","2,478","14.2","7"
"Influenza and pneumonia (J09-J18)","1,334","8.2","1,570","8.5","2,324","11.4","8"
"Diabetes (E10-E14)","1,957","13.3","2,138","13.1","2,236","12.1","9"
"Diseases of the urinary system (N00-N39)","1,822","11.5","1,792","10.2","2,066","10.4","10"
"Heart failure and complications and ill-defined heart disease (I50-I51)","1,992","12.1","1,975","10.7","2,048","10.0","11"
"Malignant neoplasms of lymphoid, haematopoietic and related tissue (C81-C96)","1,648","12.1","1,862","12.4","2,010","11.6","12"
"Accidental falls (W00-W19)","886","5.5","1,263","7.0","1,651","8.2","13"
"Malignant neoplasm of pancreas (C25)","1,201","9.0","1,255","8.4","1,508","8.9","14"
"Cardiac arrhythmias (I47-I49)","983","6.0","1,316","7.2","1,458","7.0","15"
"Hypertensive diseases (I10-I15)","1,171","7.0","1,428","7.7","1,333","6.5","16"
"Malignant neoplasm of ovary (C56)","912","7.1","975","6.8","1,081","6.6","17"
"Nonrheumatic valve disorders (I34-I38)","706","4.5","845","4.7","920","4.6","18"
"Diseases of the musculoskeletal system and connective tissue (M00-M99)","800","5.3","816","4.8","894","4.7","19"
"Malignant neoplasm of uterus (C53-C55)","596","4.6","717","5.1","878","5.5","20"

"a. Causes listed are the top 20 leading causes of death for 2019, based on the WHO recommended tabulation of leading causes. See Mortality tabulations and methodologies for further information. Groupings of deaths coded to Chapter XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99) are not included in analysis, due to the unspecified nature of these causes. Furthermore, many deaths coded to this chapter are likely to be affected by revisions, and hence recoded to more specific causes of death as they progress through the revisions process."
"b. All causes of death data from 2006 onward are subject to a revisions process - once data for a reference year are 'final', they are no longer revised. Affected data in this table are: 2010 and 2014 (final) and 2019 (preliminary). See the Data quality section of the methodology and Causes of Death Revisions, 2016 Final Data (Technical Note) and 2017 Revised Data (Technical Note) in Causes of Death, Australia, 2018 (cat. no. 3303.0)."
"c. Changes in coding processes have been applied to 2019 data. See the Classifications and Mortality coding sections of the methodology for further information."
"d. See the Data quality section of the methodology for further information on specific issues related to interpreting time-series and 2019 data."
"e. Care needs to be taken when interpreting data derived from Victorian coroner-referred deaths including suicide. See Technical note: Victorian additional registrations and time series adjustments for detailed information on this issue."
"f. Age-standardised death rate. Death rate per 100,000 estimated resident population as at 30 June (mid year). See the glossary and the Mortality tabulations and methodologies section for further information."
"g. The data presented for Malignant neoplasm of the colon, sigmoid, rectum and anus (C18-C21) includes deaths due to Malignant neoplasm of the intestinal tract, part unspecified (C26.0). Comparisons with data for this leading cause, and associated leading cause rankings, should therefore be made with caution. See Mortality tabulations and methodologies, Leading causes of death in the methodology section of this publication for further details."

"Source: Australian Bureau of Statistics, Causes of Death, Australia 2019"
