"Leading causes of death, males, Australia - selected years - 2010, 2014, 2019 (a)(b)(c)(d)(e)(f)"
,"2010",,"2014",,"2019",,"Rank (2019)"
,"no.","Rate (f)","no.","Rate (f)","no.","Rate (f)",
"Ischaemic heart diseases (I20-I25)","11,723","111.5","11,106","91.5","10,822","76.0","1"
"Dementia, including Alzheimer's disease (F01, F03, G30)","2,920","29.1","4,106","34.7","5,424","38.1","2"
"Malignant neoplasm of trachea, bronchus and lung (C33, C34)","4,935","45.1","4,948","39.9","5,190","35.9","3"
"Chronic lower respiratory diseases (J40-J47)","3,230","30.9","4,168","34.6","4,242","29.6","4"
"Cerebrovascular diseases (I60-I69)","4,331","42.0","4,260","35.7","4,089","28.8","5"
"Malignant neoplasm of prostate (C61)","3,236","31.2","3,102","25.9","3,611","25.2","6"
"Malignant neoplasm of colon, sigmoid, rectum and anus (C18-C21, C26.0)(g)","2,857","26.3","2,851","23.1","2,932","20.5","7"
"Malignant neoplasms of lymphoid, haematopoietic and related tissue (C81-C96)","2,288","21.1","2,413","19.7","2,783","19.5","8"
"Diabetes (E10-E14)","1,991","18.8","2,219","18.3","2,731","19.1","9"
"Intentional self-harm (X60-X84, Y87.0)(e)(h)","1,914","17.5","2,208","18.8","2,502","19.8","10"
"Diseases of the urinary system (N00-N39)","1,493","14.6","1,344","11.2","1,837","12.9","11"
"Influenza and pneumonia (J09-J18)","1,039","10.2","1,309","10.9","1,800","12.7","12"
"Malignant neoplasm of pancreas (C25)","1,233","11.2","1,292","10.4","1,699","11.8","13"
"Accidental falls (W00-W19)","805","7.8","1,136","9.5","1,647","11.6","14"
"Heart failure and complications and ill-defined heart disease (I50-I51)","1,478","14.5","1,472","12.3","1,600","11.3","15"
"Malignant neoplasm of liver and intrahepatic bile ducts (C22)","888","8.0","1,131","8.9","1,460","10.0","16"
"Melanoma and other malignant neoplasms of skin (C43-C44)","1,297","11.9","1,381","11.3","1,406","9.9","17"
"Cirrhosis and other diseases of liver (K70-K76)","1,081","9.6","1,230","9.8","1,362","9.8","18"
"Parkinson's disease (G20)","758","7.5","1,001","8.5","1,332","9.4","19"
"Land transport accidents (V01-V89, Y85)","1,136","10.3","978","8.3","1,079","8.4","20"

"a. Causes listed are the top 20 leading causes of death for 2019, based on the WHO recommended tabulation of leading causes. See Mortality tabulations and methodologies for further information. Groupings of deaths coded to Chapter XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99) are not included in analysis, due to the unspecified nature of these causes. Furthermore, many deaths coded to this chapter are likely to be affected by revisions, and hence recoded to more specific causes of death as they progress through the revisions process."
"b. All causes of death data from 2006 onward are subject to a revisions process - once data for a reference year are 'final', they are no longer revised. Affected data in this table are: 2010 and 2014 (final) and 2019 (preliminary). See the Data quality section of the methodology and Causes of Death Revisions, 2016 Final Data (Technical Note) and 2017 Revised Data (Technical Note) in Causes of Death, Australia, 2018 (cat. no. 3303.0)."
"c. Changes in coding processes have been applied to 2019 data. See the Classifications and Mortality coding sections of the methodology for further information."
"d. See the Data quality section of the methodology for further information on specific issues related to interpreting time-series and 2019 data."
"e. Care needs to be taken when interpreting data derived from Victorian coroner-referred deaths including suicide. See Technical note: Victorian additional registrations and time series adjustments for detailed information on this issue."
"f. Age-standardised death rate. Death rate per 100,000 estimated resident population as at 30 June (mid year). See the glossary and the Mortality tabulations and methodologies section for further information."
"g. The data presented for Malignant neoplasm of the colon, sigmoid, rectum and anus (C18-C21) includes deaths due to Malignant neoplasm of the intestinal tract, part unspecified (C26.0). Comparisons with data for this leading cause, and associated leading cause rankings, should therefore be made with caution. See Mortality tabulations and methodologies, Leading causes of death in the methodology section of this publication for further details."
"h. The data presented for intentional self-harm includes ICD-10 codes X60-X84 and Y87.0. Care needs to be taken in interpreting figures relating to intentional self-harm. See the Deaths due to intentional self-harm (suicide) section of the methodology in this publication."

"Source: Australian Bureau of Statistics, Causes of Death, Australia 2019"
