"Number of suicide deaths, by state or territory of usual residence, 2010-2019 (a)(b)(c)(d)(e)"
,"2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
,"No.","No.","No.","No.","No.","No.","No.","No.","No.","No."
"NSW","674","617","727","718","832","839","822","929","899","937"
"Vic(d)","558","526","514","533","658","678","637","710","685","717"
"Qld","588","578","631","676","658","761","688","812","786","784"
"SA","197","212","198","203","243","234","221","226","212","251"
"WA","313","309","367","336","367","402","373","418","383","418"
"Tas.","64","74","71","74","69","84","93","80","78","108"
"NT","45","44","48","33","56","48","46","51","47","50"
"ACT","41","33","24","37","38","46","28","58","47","53"
"Australia","2,480","2,393","2,580","2,610","2,922","3,093","2,909","3,285","3,138","3,318"

"a. All causes of death data from 2006 onward are subject to a revisions process - once data for a reference year are 'final', they are no longer revised. Affected data in this table are: 2010 - 2016 (final), 2017 (revised), 2018 and 2019 (preliminary). See the Data quality section of the methodology and Causes of Death Revisions, 2016 Final Data (Technical Note) and 2017 Revised Data (Technical Note) in Causes of Death, Australia, 2018 (cat. no. 3303.0)."
"b. The data presented for intentional self-harm includes ICD-10 codes X60-X84 and Y87.0. Care needs to be taken in interpreting figures relating to intentional self-harm. See the Deaths due to intentional self-harm (suicide) section of the methodology in this publication."
"c. See the Data quality section of the methodology for further information on specific issues related to interpreting time-series and 2019 data"
"d. Care needs to be taken when interpreting data derived from Victorian coroner-referred deaths including suicide. See Technical note: Victorian additional registrations and time series adjustments for detailed information on this issue."
"e. Changes in coding processes have been applied to 2019 data. See the Classifications and Mortality coding sections of the methodology for further information."

"Source: Australian Bureau of Statistics, Causes of Death, Australia 2019"
