date,2015-19 range,2015-19 avg total deaths,2020-21 total deaths,total change,percent total change
05-Jan-20,2452|2573,2498,2498,0,0.0
12-Jan-20,2369|2601,2490,2511,21,0.84
19-Jan-20,2368|2607,2465,2501,36,1.46
26-Jan-20,2328|2565,2446,2597,151,6.17
02-Feb-20,2270|2550,2451,2510,59,2.41
09-Feb-20,2357|2570,2456,2530,74,3.01
16-Feb-20,2387|2594,2463,2613,150,6.09
23-Feb-20,2322|2669,2488,2608,120,4.82
01-Mar-20,2365|2610,2487,2678,191,7.68
08-Mar-20,2446|2663,2525,2602,77,3.05
15-Mar-20,2346|2608,2468,2567,99,4.01
22-Mar-20,2451|2557,2514,2681,167,6.64
29-Mar-20,2432|2620,2514,2760,246,9.79
05-Apr-20,2424|2631,2531,2854,323,12.76
12-Apr-20,2500|2691,2570,2782,212,8.25
19-Apr-20,2483|2666,2588,2672,84,3.25
26-Apr-20,2477|2621,2564,2693,129,5.03
03-May-20,2496|2661,2607,2656,49,1.88
10-May-20,2598|2815,2726,2806,80,2.93
17-May-20,2634|2811,2734,2694,-40,-1.46
24-May-20,2668|2908,2801,2805,4,0.14
31-May-20,2658|2959,2823,2786,-37,-1.31
07-Jun-20,2740|2961,2869,2722,-147,-5.12
14-Jun-20,2685|3039,2826,2723,-103,-3.64
21-Jun-20,2694|3031,2858,2661,-197,-6.89
28-Jun-20,2777|3009,2891,2654,-237,-8.2
05-Jul-20,2847|3031,2958,2757,-201,-6.8
12-Jul-20,2836|3099,2954,2780,-174,-5.89
19-Jul-20,2884|3251,3010,2754,-256,-8.5
26-Jul-20,2928|3248,3063,2901,-162,-5.29
02-Aug-20,2915|3329,3012,2940,-72,-2.39
09-Aug-20,2836|3303,3025,2927,-98,-3.24
16-Aug-20,2972|3251,3068,3055,-13,-0.42
23-Aug-20,2916|3280,3085,2876,-209,-6.77
30-Aug-20,2994|3369,3098,2860,-238,-7.68
06-Sep-20,2893|3179,3029,2888,-141,-4.66
13-Sep-20,2738|3293,2972,2818,-154,-5.18
20-Sep-20,2749|3173,2913,2700,-213,-7.31
27-Sep-20,2724|2913,2806,2781,-25,-0.89
04-Oct-20,2745|2924,2820,2786,-34,-1.21
11-Oct-20,2693|2793,2751,2653,-98,-3.56
18-Oct-20,2622|2759,2708,2624,-84,-3.1
25-Oct-20,2550|2773,2654,2586,-68,-2.56
01-Nov-20,2518|2689,2638,2643,5,0.19
08-Nov-20,2509|2764,2609,2662,53,2.03
15-Nov-20,2402|2655,2545,2707,162,6.37
22-Nov-20,2512|2649,2587,2618,31,1.2
29-Nov-20,2507|2602,2546,2549,3,0.12
06-Dec-20,2381|2589,2507,2687,180,7.18
13-Dec-20,2523|2604,2571,2619,48,1.87
20-Dec-20,2443|2542,2519,2621,102,4.05
27-Dec-20,2345|2558,2458,2636,178,7.24
03-Jan-21,2345|2558,2458,2560,102,4.15
10-Jan-21,2452|2573,2498,2595,97,3.88
17-Jan-21,2369|2601,2490,2515,25,1.0
24-Jan-21,2368|2607,2465,2679,214,8.68
31-Jan-21,2328|2565,2446,2527,81,3.31
07-Feb-21,2270|2550,2451,2650,199,8.12
14-Feb-21,2357|2570,2456,2534,78,3.18
21-Feb-21,2387|2594,2463,2512,49,1.99
28-Feb-21,2322|2669,2488,2623,135,5.43
