date,2015-19 avg total deaths,2015-19 avg cancer deaths,2015-19 cerebrovascular disease deaths,2015-19 avg chronic lower respiratory disease deaths,2015-19 avg dementia deaths,2015-19 avg diabetes deaths,2015-19 avg heart disease deaths,2015-19 avg pneumonia deaths,2015-19 avg respiratory disease deaths
05-Jan-20,2498,868,182,133,232,71,269,45,233
12-Jan-20,2490,869,178,124,224,74,258,42,220
19-Jan-20,2465,874,167,118,220,83,272,37,206
26-Jan-20,2446,870,176,126,218,80,245,35,218
02-Feb-20,2451,864,168,125,220,78,267,37,219
09-Feb-20,2456,858,165,119,224,85,265,35,212
16-Feb-20,2463,858,170,118,226,75,250,43,216
23-Feb-20,2488,892,175,109,226,77,255,40,206
01-Mar-20,2487,906,165,113,225,79,260,40,213
08-Mar-20,2525,906,173,120,230,75,261,36,213
15-Mar-20,2468,871,183,110,243,79,250,36,201
22-Mar-20,2514,884,176,122,247,79,254,39,215
29-Mar-20,2514,881,170,129,245,79,265,37,224
05-Apr-20,2531,868,179,126,241,73,268,43,229
12-Apr-20,2570,881,182,125,242,78,271,42,224
19-Apr-20,2588,897,187,125,241,87,276,43,235
26-Apr-20,2564,862,185,121,253,80,268,48,234
03-May-20,2607,876,185,131,252,68,290,45,241
10-May-20,2726,898,199,148,268,94,294,50,264
17-May-20,2734,875,197,144,271,88,303,50,261
24-May-20,2801,911,197,157,282,86,317,53,280
31-May-20,2823,903,211,152,276,89,300,49,284
07-Jun-20,2869,913,200,150,279,90,325,57,286
14-Jun-20,2826,885,194,159,272,89,333,59,294
21-Jun-20,2858,881,212,160,273,95,315,59,297
28-Jun-20,2891,909,202,152,282,104,311,59,290
05-Jul-20,2958,921,193,170,285,103,322,65,319
12-Jul-20,2954,881,203,184,287,96,347,65,329
19-Jul-20,3010,889,208,188,307,97,339,63,342
26-Jul-20,3063,900,206,184,311,98,340,75,359
02-Aug-20,3012,892,200,184,307,98,333,70,368
09-Aug-20,3025,889,203,196,296,99,335,69,375
16-Aug-20,3068,903,219,188,301,99,348,74,374
23-Aug-20,3085,884,216,201,312,97,336,76,408
30-Aug-20,3098,919,212,202,302,96,334,76,409
06-Sep-20,3029,882,202,185,290,99,321,76,385
13-Sep-20,2972,881,202,185,308,92,311,65,372
20-Sep-20,2913,872,199,187,286,96,310,71,376
27-Sep-20,2806,859,193,173,260,89,307,66,344
04-Oct-20,2820,883,182,160,283,90,307,67,320
11-Oct-20,2751,872,182,165,262,76,291,64,322
18-Oct-20,2708,888,184,158,250,84,271,56,291
25-Oct-20,2654,869,187,132,250,84,293,48,258
01-Nov-20,2638,884,179,144,251,84,277,48,261
08-Nov-20,2609,873,167,136,245,84,282,50,256
15-Nov-20,2545,871,166,131,242,70,262,52,247
22-Nov-20,2587,893,176,141,230,80,270,43,245
29-Nov-20,2546,874,169,131,242,82,268,44,235
06-Dec-20,2507,876,173,123,236,74,257,38,217
13-Dec-20,2571,892,181,128,245,79,259,41,231
20-Dec-20,2519,880,174,123,236,76,255,48,233
27-Dec-20,2458,858,168,125,234,82,240,42,227
03-Jan-21,2458,858,168,125,234,82,240,42,227
10-Jan-21,2498,868,182,133,232,71,269,45,233
17-Jan-21,2490,869,178,124,224,74,258,42,220
24-Jan-21,2465,874,167,118,220,83,272,37,206
31-Jan-21,2446,870,176,126,218,80,245,35,218
07-Feb-21,2451,864,168,125,220,78,267,37,219
14-Feb-21,2456,858,165,119,224,85,265,35,212
21-Feb-21,2463,858,170,118,226,75,250,43,216
28-Feb-21,2488,892,175,109,226,77,255,40,206
