date,COVID-19 new infections,2020-21 total deaths,2020-21 cancer deaths,2020-21 cerebrovascular disease deaths,2020-21 chronic lower respiratory disease deaths,2020-21 dementia deaths,2020-21 diabetes deaths,2020-21 heart disease deaths,2020-21 pneumonia deaths,2020-21 respiratory disease deaths
05-Jan-20,0,2498,849,139,127,255,86,215,42,240
12-Jan-20,0,2511,899,166,145,265,71,218,40,240
19-Jan-20,0,2501,912,141,120,257,71,234,37,222
26-Jan-20,4,2597,931,159,132,248,77,244,44,242
02-Feb-20,8,2510,830,162,134,276,80,235,31,226
09-Feb-20,3,2530,927,165,111,279,93,207,41,206
16-Feb-20,0,2613,935,164,128,256,79,262,39,226
23-Feb-20,7,2608,939,147,130,266,97,262,42,220
01-Mar-20,4,2678,956,158,143,288,91,227,52,265
08-Mar-20,53,2602,888,156,134,272,77,240,38,231
15-Mar-20,219,2567,898,162,119,255,87,232,36,214
22-Mar-20,1070,2681,947,148,141,280,85,248,51,262
29-Mar-20,2581,2760,897,171,152,316,92,250,65,284
05-Apr-20,1735,2854,967,187,137,309,113,249,70,273
12-Apr-20,740,2782,923,199,123,291,109,234,63,239
19-Apr-20,357,2672,884,172,102,298,106,272,59,225
26-Apr-20,102,2693,907,164,121,307,109,268,31,202
03-May-20,92,2656,857,175,124,272,97,277,44,235
10-May-20,133,2806,985,190,119,281,91,266,46,228
17-May-20,107,2694,924,180,132,274,93,276,31,234
24-May-20,57,2805,884,211,132,283,96,289,47,247
31-May-20,85,2786,934,190,124,293,98,265,47,233
07-Jun-20,62,2722,922,159,131,268,94,257,49,243
14-Jun-20,64,2723,888,207,122,296,99,258,38,225
21-Jun-20,137,2661,899,190,126,282,96,264,38,229
28-Jun-20,231,2654,876,179,130,274,94,273,35,211
05-Jul-20,575,2757,924,183,119,255,112,272,56,235
12-Jul-20,1311,2780,966,157,143,276,87,253,43,258
19-Jul-20,1955,2754,949,176,106,242,86,265,49,220
26-Jul-20,2556,2901,894,176,125,320,110,297,41,228
02-Aug-20,3399,2940,949,177,115,323,92,282,40,215
09-Aug-20,3220,2927,921,197,154,285,91,285,38,271
16-Aug-20,2312,3055,905,196,111,319,116,303,59,240
23-Aug-20,1524,2876,900,188,134,277,80,303,24,217
30-Aug-20,888,2860,881,159,126,292,112,269,47,241
06-Sep-20,624,2888,938,181,148,280,114,292,35,242
13-Sep-20,392,2818,941,186,145,309,93,268,44,254
20-Sep-20,252,2700,860,154,133,289,87,271,33,233
27-Sep-20,146,2781,899,180,150,263,101,292,32,252
04-Oct-20,93,2786,980,187,123,279,98,275,32,217
11-Oct-20,132,2653,918,188,127,257,99,242,34,218
18-Oct-20,134,2624,913,169,124,277,101,248,28,200
25-Oct-20,129,2586,913,159,121,260,87,249,23,204
01-Nov-20,75,2643,916,180,123,263,94,271,31,208
08-Nov-20,65,2662,960,171,112,239,81,233,29,213
15-Nov-20,67,2707,944,179,139,285,108,242,25,212
22-Nov-20,94,2618,948,148,117,262,91,255,25,208
29-Nov-20,71,2549,870,165,118,273,73,246,35,209
06-Dec-20,72,2687,968,155,140,272,76,251,36,243
13-Dec-20,67,2619,908,174,129,243,103,238,32,218
20-Dec-20,141,2621,930,137,129,279,83,252,32,211
27-Dec-20,136,2636,927,154,117,257,108,233,36,222
03-Jan-21,170,2560,900,179,136,278,101,245,31,241
10-Jan-21,108,2595,922,172,139,253,84,230,27,221
17-Jan-21,111,2515,897,149,113,255,64,223,29,210
24-Jan-21,59,2679,917,166,131,311,76,248,34,224
31-Jan-21,44,2527,894,156,113,289,61,221,26,211
07-Feb-21,39,2650,926,165,127,261,83,249,37,231
14-Feb-21,46,2534,914,159,107,240,78,250,27,199
21-Feb-21,25,2512,907,174,110,257,74,208,37,197
28-Feb-21,42,2623,948,164,126,266,60,244,37,226
