date,2015-19 range,2015-19 avg chronic lower respiratory disease deaths,2020-21 chronic lower respiratory disease deaths,total change,percent total change
05-Jan-20,117|157,133,127,-6,-4.51
12-Jan-20,110|144,124,145,21,16.94
19-Jan-20,104|138,118,120,2,1.69
26-Jan-20,113|141,126,132,6,4.76
02-Feb-20,114|134,125,134,9,7.2
09-Feb-20,111|126,119,111,-8,-6.72
16-Feb-20,108|126,118,128,10,8.47
23-Feb-20,89|128,109,130,21,19.27
01-Mar-20,94|134,113,143,30,26.55
08-Mar-20,115|123,120,134,14,11.67
15-Mar-20,92|130,110,119,9,8.18
22-Mar-20,101|138,122,141,19,15.57
29-Mar-20,113|143,129,152,23,17.83
05-Apr-20,113|139,126,137,11,8.73
12-Apr-20,111|131,125,123,-2,-1.6
19-Apr-20,114|148,125,102,-23,-18.4
26-Apr-20,112|132,121,121,0,0.0
03-May-20,125|137,131,124,-7,-5.34
10-May-20,139|154,148,119,-29,-19.59
17-May-20,133|157,144,132,-12,-8.33
24-May-20,144|188,157,132,-25,-15.92
31-May-20,130|176,152,124,-28,-18.42
07-Jun-20,123|165,150,131,-19,-12.67
14-Jun-20,139|172,159,122,-37,-23.27
21-Jun-20,146|168,160,126,-34,-21.25
28-Jun-20,136|164,152,130,-22,-14.47
05-Jul-20,154|186,170,119,-51,-30.0
12-Jul-20,151|199,184,143,-41,-22.28
19-Jul-20,175|207,188,106,-82,-43.62
26-Jul-20,167|204,184,125,-59,-32.07
02-Aug-20,150|223,184,115,-69,-37.5
09-Aug-20,154|243,196,154,-42,-21.43
16-Aug-20,176|211,188,111,-77,-40.96
23-Aug-20,177|222,201,134,-67,-33.33
30-Aug-20,163|235,202,126,-76,-37.62
06-Sep-20,145|205,185,148,-37,-20.0
13-Sep-20,150|223,185,145,-40,-21.62
20-Sep-20,172|206,187,133,-54,-28.88
27-Sep-20,163|185,173,150,-23,-13.29
04-Oct-20,139|177,160,123,-37,-23.12
11-Oct-20,153|189,165,127,-38,-23.03
18-Oct-20,147|165,158,124,-34,-21.52
25-Oct-20,111|147,132,121,-11,-8.33
01-Nov-20,134|157,144,123,-21,-14.58
08-Nov-20,99|187,136,112,-24,-17.65
15-Nov-20,115|141,131,139,8,6.11
22-Nov-20,132|153,141,117,-24,-17.02
29-Nov-20,116|153,131,118,-13,-9.92
06-Dec-20,114|134,123,140,17,13.82
13-Dec-20,112|140,128,129,1,0.78
20-Dec-20,114|132,123,129,6,4.88
27-Dec-20,106|139,125,117,-8,-6.4
03-Jan-21,106|139,125,136,11,8.8
10-Jan-21,117|157,133,139,6,4.51
17-Jan-21,110|144,124,113,-11,-8.87
24-Jan-21,104|138,118,131,13,11.02
31-Jan-21,113|141,126,113,-13,-10.32
07-Feb-21,114|134,125,127,2,1.6
14-Feb-21,111|126,119,107,-12,-10.08
21-Feb-21,108|126,118,110,-8,-6.78
28-Feb-21,89|128,109,126,17,15.6
