date,2015-19 range,2015-19 avg dementia deaths,2020-21 dementia deaths,total change,percent total change
05-Jan-20,217|256,232,255,23,9.91
12-Jan-20,208|240,224,265,41,18.3
19-Jan-20,206|237,220,257,37,16.82
26-Jan-20,186|247,218,248,30,13.76
02-Feb-20,196|234,220,276,56,25.45
09-Feb-20,187|252,224,279,55,24.55
16-Feb-20,200|254,226,256,30,13.27
23-Feb-20,190|244,226,266,40,17.7
01-Mar-20,195|256,225,288,63,28.0
08-Mar-20,203|260,230,272,42,18.26
15-Mar-20,217|274,243,255,12,4.94
22-Mar-20,200|280,247,280,33,13.36
29-Mar-20,227|267,245,316,71,28.98
05-Apr-20,198|276,241,309,68,28.22
12-Apr-20,223|263,242,291,49,20.25
19-Apr-20,217|287,241,298,57,23.65
26-Apr-20,234|290,253,307,54,21.34
03-May-20,211|280,252,272,20,7.94
10-May-20,237|292,268,281,13,4.85
17-May-20,235|319,271,274,3,1.11
24-May-20,256|321,282,283,1,0.35
31-May-20,235|302,276,293,17,6.16
07-Jun-20,244|317,279,268,-11,-3.94
14-Jun-20,207|313,272,296,24,8.82
21-Jun-20,229|294,273,282,9,3.3
28-Jun-20,246|344,282,274,-8,-2.84
05-Jul-20,256|336,285,255,-30,-10.53
12-Jul-20,268|326,287,276,-11,-3.83
19-Jul-20,273|361,307,242,-65,-21.17
26-Jul-20,259|350,311,320,9,2.89
02-Aug-20,273|344,307,323,16,5.21
09-Aug-20,258|334,296,285,-11,-3.72
16-Aug-20,280|323,301,319,18,5.98
23-Aug-20,275|337,312,277,-35,-11.22
30-Aug-20,283|334,302,292,-10,-3.31
06-Sep-20,270|313,290,280,-10,-3.45
13-Sep-20,281|351,308,309,1,0.32
20-Sep-20,257|317,286,289,3,1.05
27-Sep-20,250|271,260,263,3,1.15
04-Oct-20,234|306,283,279,-4,-1.41
11-Oct-20,257|272,262,257,-5,-1.91
18-Oct-20,199|276,250,277,27,10.8
25-Oct-20,217|278,250,260,10,4.0
01-Nov-20,218|272,251,263,12,4.78
08-Nov-20,226|258,245,239,-6,-2.45
15-Nov-20,210|272,242,285,43,17.77
22-Nov-20,201|249,230,262,32,13.91
29-Nov-20,225|282,242,273,31,12.81
06-Dec-20,198|283,236,272,36,15.25
13-Dec-20,190|296,245,243,-2,-0.82
20-Dec-20,216|265,236,279,43,18.22
27-Dec-20,210|259,234,257,23,9.83
03-Jan-21,210|259,234,278,44,18.8
10-Jan-21,217|256,232,253,21,9.05
17-Jan-21,208|240,224,255,31,13.84
24-Jan-21,206|237,220,311,91,41.36
31-Jan-21,186|247,218,289,71,32.57
07-Feb-21,196|234,220,261,41,18.64
14-Feb-21,187|252,224,240,16,7.14
21-Feb-21,200|254,226,257,31,13.72
28-Feb-21,190|244,226,266,40,17.7
