date,2015-19 range,2015-19 avg heart disease deaths,2020-21 heart disease deaths,total change,percent total change
05-Jan-20,245|291,269,215,-54,-20.07
12-Jan-20,246|272,258,218,-40,-15.5
19-Jan-20,244|304,272,234,-38,-13.97
26-Jan-20,210|271,245,244,-1,-0.41
02-Feb-20,257|276,267,235,-32,-11.99
09-Feb-20,244|294,265,207,-58,-21.89
16-Feb-20,235|278,250,262,12,4.8
23-Feb-20,240|271,255,262,7,2.75
01-Mar-20,224|291,260,227,-33,-12.69
08-Mar-20,244|280,261,240,-21,-8.05
15-Mar-20,221|270,250,232,-18,-7.2
22-Mar-20,238|277,254,248,-6,-2.36
29-Mar-20,250|281,265,250,-15,-5.66
05-Apr-20,241|306,268,249,-19,-7.09
12-Apr-20,246|294,271,234,-37,-13.65
19-Apr-20,267|291,276,272,-4,-1.45
26-Apr-20,214|300,268,268,0,0.0
03-May-20,262|334,290,277,-13,-4.48
10-May-20,280|308,294,266,-28,-9.52
17-May-20,274|332,303,276,-27,-8.91
24-May-20,288|356,317,289,-28,-8.83
31-May-20,282|316,300,265,-35,-11.67
07-Jun-20,297|345,325,257,-68,-20.92
14-Jun-20,304|359,333,258,-75,-22.52
21-Jun-20,293|343,315,264,-51,-16.19
28-Jun-20,274|337,311,273,-38,-12.22
05-Jul-20,282|370,322,272,-50,-15.53
12-Jul-20,323|370,347,253,-94,-27.09
19-Jul-20,292|393,339,265,-74,-21.83
26-Jul-20,287|377,340,297,-43,-12.65
02-Aug-20,282|367,333,282,-51,-15.32
09-Aug-20,283|367,335,285,-50,-14.93
16-Aug-20,299|382,348,303,-45,-12.93
23-Aug-20,305|368,336,303,-33,-9.82
30-Aug-20,283|363,334,269,-65,-19.46
06-Sep-20,299|357,321,292,-29,-9.03
13-Sep-20,270|351,311,268,-43,-13.83
20-Sep-20,281|350,310,271,-39,-12.58
27-Sep-20,237|342,307,292,-15,-4.89
04-Oct-20,272|334,307,275,-32,-10.42
11-Oct-20,258|327,291,242,-49,-16.84
18-Oct-20,247|304,271,248,-23,-8.49
25-Oct-20,278|307,293,249,-44,-15.02
01-Nov-20,266|311,277,271,-6,-2.17
08-Nov-20,249|329,282,233,-49,-17.38
15-Nov-20,229|278,262,242,-20,-7.63
22-Nov-20,247|287,270,255,-15,-5.56
29-Nov-20,232|299,268,246,-22,-8.21
06-Dec-20,243|270,257,251,-6,-2.33
13-Dec-20,231|274,259,238,-21,-8.11
20-Dec-20,230|274,255,252,-3,-1.18
27-Dec-20,216|263,240,233,-7,-2.92
03-Jan-21,216|263,240,245,5,2.08
10-Jan-21,245|291,269,230,-39,-14.5
17-Jan-21,246|272,258,223,-35,-13.57
24-Jan-21,244|304,272,248,-24,-8.82
31-Jan-21,210|271,245,221,-24,-9.8
07-Feb-21,257|276,267,249,-18,-6.74
14-Feb-21,244|294,265,250,-15,-5.66
21-Feb-21,235|278,250,208,-42,-16.8
28-Feb-21,240|271,255,244,-11,-4.31
